,UserId,id,hybrid_score,product_name,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6
0,AOVROBZ8BNTP7,B001EO5QW8,0.4944533333333334,"McCANN'S Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)",Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Oatmeal,-,-
1,A27TKQHFW0FB5N,B001GVISJC,0.06904761904761904,"Albanese Concord Grape Gummi Bears, 5 Pound Bags (Pack of 2)",Grocery & Gourmet Food', 'Candy & Chocolate', 'Jelly Beans & Gummy Candy', 'Gummy Candy,-,-
2,A37AO20OXS51QA,B001UJEN6C,0.2234019047619048,"Steaz Berry Energy Shot, 2.5 Ounce Bottles (Pack of 12)",Grocery & Gourmet Food', 'Beverages', 'Bottled Beverages, Water & Drink Mixes', 'Energy Drinks,-
3,A2LFHPZFG1OHBZ,B001UJEN6C,0.09207851851851853,"Steaz Berry Energy Shot, 2.5 Ounce Bottles (Pack of 12)",Grocery & Gourmet Food', 'Beverages', 'Bottled Beverages, Water & Drink Mixes', 'Energy Drinks,-
4,ALSAOZ1V546VT,B001ELL6O8,0.4035633333333333,"Arrowhead Mills Pancake & Waffle Mix, Buttermilk, 2 Pound Bags (Pack of 4)",Grocery & Gourmet Food', 'Pantry Staples', 'Cooking & Baking', 'Baking Mixes', 'Pancakes & Waffles,-
5,A30H2335OM7RD6,B000G6RYNE,0.08224046896086369,"Kettle Brand Potato Chips, Unsalted, 5 Ounce Bags (Pack of 15)",Grocery & Gourmet Food', 'Snack Foods', 'Chips & Crisps', 'Potato,-,-
6,A1MFG9E45RX5OW,B000G6RYNE,-0.06097949038461541,"Kettle Brand Potato Chips, Unsalted, 5 Ounce Bags (Pack of 15)",Grocery & Gourmet Food', 'Snack Foods', 'Chips & Crisps', 'Potato,-,-
7,AY1EF0GOH80EK,B000G6RYNE,0.07551666666666666,"Kettle Brand Potato Chips, Unsalted, 5 Ounce Bags (Pack of 15)",Grocery & Gourmet Food', 'Snack Foods', 'Chips & Crisps', 'Potato,-,-
8,A3RMGIKUWGPZOK,B000G6RYNE,-0.10803333333333333,"Kettle Brand Potato Chips, Unsalted, 5 Ounce Bags (Pack of 15)",Grocery & Gourmet Food', 'Snack Foods', 'Chips & Crisps', 'Potato,-,-
9,A2TN9C5E4A0I3F,B000G6RYNE,0.15007620833333335,"Kettle Brand Potato Chips, Unsalted, 5 Ounce Bags (Pack of 15)",Grocery & Gourmet Food', 'Snack Foods', 'Chips & Crisps', 'Potato,-,-
10,A14SOW889A4TAT,B000G6RYNE,0.10579200000000002,"Kettle Brand Potato Chips, Unsalted, 5 Ounce Bags (Pack of 15)",Grocery & Gourmet Food', 'Snack Foods', 'Chips & Crisps', 'Potato,-,-
11,A14HZ5EMD2WCG,B000G6RYNE,0.01479761051448552,"Kettle Brand Potato Chips, Unsalted, 5 Ounce Bags (Pack of 15)",Grocery & Gourmet Food', 'Snack Foods', 'Chips & Crisps', 'Potato,-,-
