,UserId,ProductId,hybrid_score
0,AOVROBZ8BNTP7,B001EO5QW8,0.4944533333333334
1,A27TKQHFW0FB5N,B001GVISJC,0.06904761904761904
2,A37AO20OXS51QA,B001UJEN6C,0.2234019047619048
3,A2LFHPZFG1OHBZ,B001UJEN6C,0.09207851851851853
4,ALSAOZ1V546VT,B001ELL6O8,0.4035633333333333
5,A30H2335OM7RD6,B000G6RYNE,0.08224046896086369
6,A1MFG9E45RX5OW,B000G6RYNE,-0.06097949038461541
7,AY1EF0GOH80EK,B000G6RYNE,0.07551666666666666
8,A3RMGIKUWGPZOK,B000G6RYNE,-0.10803333333333333
9,A2TN9C5E4A0I3F,B000G6RYNE,0.15007620833333335
10,A14SOW889A4TAT,B000G6RYNE,0.10579200000000002
11,A14HZ5EMD2WCG,B000G6RYNE,0.01479761051448552
12,AR7TAEEUDHMUB,B000G6RYNE,0.2982536666666667
13,AG7EF0SVBQOUX,B000G6RYNE,0.2395580769230769
14,A3RMGIKUWGPZOK,B000G6RYNE,-0.002772888888888891
15,A1Q7A78VSQ5GQ4,B000G6RYNE,0.21940199999999999
16,A2A8KWCE8RKB9T,B000G6RYNE,0.12493725
17,A3PSJEB2O37G8U,B000G6RYNE,0.12269761904761906
18,A24ZV048V7J0MT,B000G6RYNE,-0.2336207692307692
19,A2YKWYC3WQJX5J,B000G6RYNE,0.3193493333333333
20,AKMEY1BSHSDG7,B000G6RYNE,-0.09579545454545453
21,A3M174IC0VXOS2,B000G6RYNE,0.2695
22,A3M2VGWFJGRUOH,B000G6RYNE,0.1630479338842975
23,A3U58GFUQAOZLE,B002BCD2OG,0.695808
24,AUI3N3A5AYO3M,B002BCD2OG,-0.1423125
25,A3QFVEQNX2FQ8P,B000G6MBX2,0.10819666666666664
26,A2MIJOZVTWEXP2,B000G6MBX2,0.2269947428571429
27,A1WX42M589VAMQ,B000G6MBX2,0.372125625
28,A1AQ2W2R4SOVGN,B000G6MBX2,0.11625428571428573
29,A1ABDQ02BCIGYQ,B000G6MBX2,0.1003409523809524
30,A3KJ6JZ8MWERPG,B001HTKZ5S,0.47725
31,A36MP37DITBU6F,B0018DQFPC,0.2606295000000001
32,A2DRQBOGCTC5HP,B0002XIB2Y,-0.012583825396825407
33,A3RB2ZB2KGRZVE,B001EQ4DVQ,0.34288875
34,A1JOEJLEL2KJE2,B001TZSDJK,-0.06384101298701297
35,A1G51N43M000F7,B001GCVLXG,0.3994380165289256
36,A19U4T4I7UZGNM,B0030N5K1I,0.3703157272727273
37,A2058UP7ATXFOF,B0030N5K1I,0.5022000000000001
38,A2058UP7ATXFOF,B0030N5K1I,0.312655
39,A19U4T4I7UZGNM,B0030N5K1I,0.6103999999999999
40,A3B8CF4V636M8U,B0025ULYKI,0.49245
41,ACYR6O588USK,B0025ULYKI,0.19957291666666668
42,ADLVFFE4VBT8,B0028SWACS,0.17192412698412696
43,AL3EQN8HMELY2,B001HTI226,0.1649204081632653
44,A2OWR5G2OAQF7C,B001HTI226,0.2184075757575758
45,AJGU56YG8G1DQ,B00283V4GQ,0.09820999999999998
46,A1NXGRAQROM9AL,B001FA1L7U,0.22671
47,A2N3BRPS0NS7FF,B0013JQON4,0.2084625
48,AYGJ96W5KQMUJ,B0013JQON4,0.4028888888888888
